Date;CH_infl;US_infl
01/01/2005;-0,5;0,21019443
01/02/2005;0,2;0,576822234
01/03/2005;0,2;0,782064651
01/04/2005;0,8;0,672529747
01/05/2005;-0,1;-0,102774923
01/06/2005;-0,2;0,051440329
01/07/2005;-0,5;0,462724936
01/08/2005;0,1;0,511770727
01/09/2005;0,4;1,221995927
01/10/2005;0,9;0,201207243
01/11/2005;-0,3;-0,803212851
01/12/2005;-0,1;-0,4048583
01/01/2006;-0,2;0,762195122
01/02/2006;0,3;0,201714574
01/03/2006;-0,1;0,55359839
01/04/2006;0,8;0,850850851
01/05/2006;0,2;0,496277916
01/06/2006;0,0;0,197530864
01/07/2006;-0,7;0,295712173
01/08/2006;0,2;0,196560197
01/09/2006;-0,2;-0,490436488
01/10/2006;0,3;-0,542138985
01/11/2006;0,0;-0,148662042
01/12/2006;0,0;0,148883375
01/01/2007;-0,7;0,305252725
01/02/2007;0,2;0,535036756
01/03/2007;0,1;0,910569585
01/04/2007;1,1;0,649616269
01/05/2007;0,2;0,611071867
01/06/2007;0,1;0,193797518
01/07/2007;-0,6;-0,025437721
01/08/2007;-0,1;-0,183390223
01/09/2007;0,1;0,275590741
01/10/2007;0,9;0,213919133
01/11/2007;0,5;0,593961787
01/12/2007;0,2;-0,067086313
01/01/2008;-0,3;0,497057647
01/02/2008;0,1;0,290411218
01/03/2008;0,3;0,866821293
01/04/2008;0,8;0,606477839
01/05/2008;0,8;0,842088603
01/06/2008;0,2;1,007699693
01/07/2008;-0,4;0,525101113
01/08/2008;-0,3;-0,399156226
01/09/2008;0,1;-0,138301854
01/10/2008;0,5;-1,010133328
01/11/2008;-0,7;-1,915289533
01/12/2008;-0,5;-1,034247381
01/01/2009;-0,8;0,435241738
01/02/2009;0,2;0,497293304
01/03/2009;-0,3;0,243174846
01/04/2009;0,9;0,249636828
01/05/2009;0,2;0,288876383
01/06/2009;0,2;0,858989226
01/07/2009;-0,7;-0,158558692
01/08/2009;0,1;0,224285004
01/09/2009;0,0;0,062548069
01/10/2009;0,6;0,096310119
01/11/2009;0,2;0,070775337
01/12/2009;-0,2;-0,176119817
01/01/2010;-0,1;0,341747357
01/02/2010;0,1;0,024920738
01/03/2010;0,1;0,410628354
01/04/2010;0,9;0,173688491
01/05/2010;-0,1;0,077519735
01/06/2010;-0,4;-0,097626708
01/07/2010;-0,7;0,021104306
01/08/2010;0,0;0,138066428
01/09/2010;0,0;0,058173623
01/10/2010;0,5;0,124519889
01/11/2010;0,2;0,042064642
01/12/2010;0,0;0,171844079
01/01/2011;-0,4;0,476323005
01/02/2011;0,4;0,493136503
01/03/2011;0,6;0,975107203
01/04/2011;0,1;0,643942954
01/05/2011;0,0;0,470418753
01/06/2011;-0,2;-0,107096706
01/07/2011;-0,8;0,088604567
01/08/2011;-0,3;0,27575889
01/09/2011;0,3;0,151846212
01/10/2011;-0,1;-0,206268263
01/11/2011;-0,2;-0,084356133
01/12/2011;-0,2;-0,246651638
01/01/2012;-0,4;0,440019143
01/02/2012;0,3;0,440297355
01/03/2012;0,6;0,759455862
01/04/2012;0,1;0,30210295
01/05/2012;0,0;-0,117347937
01/06/2012;-0,3;-0,146639688
01/07/2012;-0,5;-0,162978586
01/08/2012;0,0;0,556515818
01/09/2012;0,3;0,446221227
01/10/2012;0,1;-0,038892514
01/11/2012;-0,3;-0,473808669
01/12/2012;-0,2;-0,269306449
01/01/2013;-0,3;0,295730419
01/02/2013;0,3;0,819002953
01/03/2013;0,2;0,261450858
01/04/2013;0,0;-0,103963948
01/05/2013;0,1;0,178040777
01/06/2013;0,1;0,239970809
01/07/2013;-0,4;0,039399753
01/08/2013;-0,1;0,120293156
01/09/2013;0,3;0,116300449
01/10/2013;-0,1;-0,257528326
01/11/2013;0,0;-0,204242419
01/12/2013;-0,2;-0,00858115
01/01/2014;-0,3;0,372024767
01/02/2014;0,1;0,369790865
01/03/2014;0,4;0,644004413
01/04/2014;0,1;0,329675445
01/05/2014;0,3;0,349260984
01/06/2014;-0,1;0,186212694
01/07/2014;-0,4;-0,039019396
01/08/2014;0,0;-0,167051417
01/09/2014;0,1;0,075256882
01/10/2014;0,0;-0,251227781
01/11/2014;0,0;-0,539941794
01/12/2014;-0,5;-0,567010091
01/01/2015;-0,4;-0,470589237
01/02/2015;-0,3;0,434304492
01/03/2015;0,3;0,595172161
01/04/2015;-0,2;0,203287325
01/05/2015;0,2;0,509723203
01/06/2015;0,1;0,350287
01/07/2015;-0,6;0,006704716
01/08/2015;-0,2;-0,141627628
01/09/2015;0,1;-0,155675658
01/10/2015;0,1;-0,044968375
01/11/2015;-0,1;-0,211068038
01/12/2015;-0,4;-0,341709644
01/01/2016;-0,4;0,165310221
01/02/2016;0,2;0,082307653
01/03/2016;0,3;0,430600014
01/04/2016;0,3;0,474106798
01/05/2016;0,1;0,4045791
01/06/2016;0,1;0,328436617
01/07/2016;-0,4;-0,16181364
01/08/2016;-0,1;0,091843011
01/09/2016;0,1;0,240399586
01/10/2016;0,1;0,124674851
01/11/2016;-0,2;-0,155546087
01/12/2016;-0,1;0,032732139
01/01/2017;0,0;0,582772789
01/02/2017;0,5;0,314611739
01/03/2017;0,2;0,081279787
01/04/2017;0,2;0,296553337
01/05/2017;0,2;0,085472183
01/06/2017;-0,1;0,090711101
01/07/2017;-0,3;-0,068992264
01/08/2017;0,0;0,29944523
01/09/2017;0,2;0,529490589
01/10/2017;0,1;-0,06320421
01/11/2017;-0,1;0,002432469
01/12/2017;0,0;-0,058783228
01/01/2018;-0,1;0,544774545
01/02/2018;0,4;0,453468997
01/03/2018;0,4;0,22611259
01/04/2018;0,2;0,397509156
01/05/2018;0,4;0,415891693
01/06/2018;0,0;0,15938757
01/07/2018;-0,2;0,006746326
01/08/2018;0,0;0,055554233
01/09/2018;0,1;0,116202518
01/10/2018;0,2;0,176676346
01/11/2018;-0,3;-0,334934852
01/12/2018;-0,3;-0,319396282
01/01/2019;-0,3;0,190659667
01/02/2019;0,4;0,422705314
01/03/2019;0,5;0,564135836
01/04/2019;0,2;0,529500161
01/05/2019;0,3;0,212875859
01/06/2019;0,0;0,019914718
01/07/2019;-0,5;0,167094162
01/08/2019;0,0;-0,005066824
01/09/2019;-0,1;0,078344858
01/10/2019;-0,2;0,228619055
01/11/2019;-0,1;-0,053624303
01/12/2019;0,0;-0,090976953
01/01/2020;-0,2;0,387976994
01/02/2020;0,1;0,274061813
01/03/2020;0,1;-0,217645103
01/04/2020;-0,4;-0,668694187
01/05/2020;0,0;0,001950162
01/06/2020;0,0;0,547204693
01/07/2020;-0,2;0,50582435
01/08/2020;0,0;0,315321052
01/09/2020;0,0;0,139274694
01/10/2020;0,0;0,041493776
01/11/2020;-0,2;-0,061062722
01/12/2020;-0,1;0,094147847
01/01/2021;0,1;0,425378349
01/02/2021;0,2;0,547438279
01/03/2021;0,3;0,708327313
01/04/2021;0,2;0,821890915
01/05/2021;0,3;0,801710515
01/06/2021;0,1;0,92906629
01/07/2021;-0,1;0,481052353
01/08/2021;0,2;0,032600374
01/09/2021;0,0;0,410850556
01/10/2021;0,3;0,866476548
01/11/2021;0,0;0,699229907
01/12/2021;-0,1;0,57517485
